date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:23	2708/2708	---M--	200	added ('OK')	image/png	etag:%22127acfa22657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/coklu-platform-destegi.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/coklu-platform-destegi.png	(from http://cnettr.com/spotcam/)
14:30:24	3063/3063	---M--	200	added ('OK')	image/png	etag:%22ed523a9f2657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/gece-gorusu.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/gece-gorusu.png	(from http://cnettr.com/spotcam/)
14:30:24	129271/129271	---M--	200	added ('OK')	image/jpeg	etag:%22a731207256d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/Slide.jpg	C:/cnet/Cnet/spotcam/Storage/Web/Original/Slide.jpg	(from http://cnettr.com/spotcam/)
14:30:25	3025/3025	---M--	200	added ('OK')	image/png	etag:%22cb2438a22657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/gercek-zamanli-alarm.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/gercek-zamanli-alarm.png	(from http://cnettr.com/spotcam/)
14:30:25	3048/3048	---M--	200	added ('OK')	image/png	etag:%22dbd367a22657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/sosyal-ag.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/sosyal-ag.png	(from http://cnettr.com/spotcam/)
14:30:25	2904/2904	---M--	200	added ('OK')	image/png	etag:%22b9be92a22657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/zamanlama.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/zamanlama.png	(from http://cnettr.com/spotcam/)
14:30:26	3425/3425	---M--	200	added ('OK')	image/png	etag:%22e865dba22657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/guclu-guvenlik-sistemi.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/guclu-guvenlik-sistemi.png	(from http://cnettr.com/spotcam/)
14:30:59	247642/247642	---M--	200	added ('OK')	image/png	etag:%2241b44df2257d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/meet-us.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/meet-us.png	(from http://cnettr.com/spotcam/)
14:31:11	69448/69448	---M--	200	added ('OK')	image/png	etag:%221a6d4a5e4557d01:0%22	http://cnettr.com/spotcam/Storage/Web/Original/server.png	C:/cnet/Cnet/spotcam/Storage/Web/Original/server.png	(from http://cnettr.com/spotcam/)
14:31:11	2921/2921	---M--	200	added ('OK')	image/png	etag:%22938424a4657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Small/spotcam.png	C:/cnet/Cnet/spotcam/Storage/Web/Small/spotcam.png	(from http://cnettr.com/spotcam/)
14:31:12	3336/3336	---M--	200	added ('OK')	image/png	etag:%2257581d4b4657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Small/bulut-diski.png	C:/cnet/Cnet/spotcam/Storage/Web/Small/bulut-diski.png	(from http://cnettr.com/spotcam/)
14:31:13	2746/2746	---M--	200	added ('OK')	image/png	etag:%22f36dfc4b4657d01:0%22	http://cnettr.com/spotcam/Storage/Web/Small/cihazlariniz.png	C:/cnet/Cnet/spotcam/Storage/Web/Small/cihazlariniz.png	(from http://cnettr.com/spotcam/)
14:31:13	95931/95931	---M--	200	added ('OK')	application/x-javascript	etag:%22f01eedbf5156d01:0%22	http://cnettr.com/spotcam/Script/jquery-1.11.2.min.js	C:/cnet/Cnet/spotcam/Script/jquery-1.11.2.min.js	(from http://cnettr.com/spotcam/)
14:31:15	35452/35452	---M--	200	added ('OK')	application/x-javascript	etag:%22099ee2b633d01:0%22	http://cnettr.com/spotcam/Script/bootstrap.min.js	C:/cnet/Cnet/spotcam/Script/bootstrap.min.js	(from http://cnettr.com/spotcam/)
14:31:15	19359/19359	---M--	200	added ('OK')	application/x-javascript	etag:%22033cee24a50cf1:0%22	http://cnettr.com/spotcam/Script/jquery.bxslider.min.js	C:/cnet/Cnet/spotcam/Script/jquery.bxslider.min.js	(from http://cnettr.com/spotcam/)
14:31:16	12927/12927	---M--	200	added ('OK')	application/x-javascript	etag:%22096a23b5055d01:0%22	http://cnettr.com/spotcam/Script/jquery.easings.min.js	C:/cnet/Cnet/spotcam/Script/jquery.easings.min.js	(from http://cnettr.com/spotcam/)
14:31:17	4677/4677	---M--	200	added ('OK')	application/x-javascript	etag:%22096a23b5055d01:0%22	http://cnettr.com/spotcam/Script/jquery.slimscroll.min.js	C:/cnet/Cnet/spotcam/Script/jquery.slimscroll.min.js	(from http://cnettr.com/spotcam/)
14:31:17	22243/22243	---M--	200	added ('OK')	application/x-javascript	etag:%22096a23b5055d01:0%22	http://cnettr.com/spotcam/Script/jquery.fullPage.min.js	C:/cnet/Cnet/spotcam/Script/jquery.fullPage.min.js	(from http://cnettr.com/spotcam/)
14:31:17	40401/40401	---M--	200	added ('OK')	application/x-javascript	etag:%220e3dce75e91cf1:0%22	http://cnettr.com/spotcam/Script/owl.carousel.min.js	C:/cnet/Cnet/spotcam/Script/owl.carousel.min.js	(from http://cnettr.com/spotcam/)
14:31:19	1079/1079	---M--	200	added ('OK')	image/png	etag:%225dcba722f73ed01:0%22	http://cnettr.com/Images/download.png	C:/cnet/Cnet/Images/download.png	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:19	26951/26951	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2005%20Nov%202015%2017:34:06%20GMT	http://cnettr.com/WebResource.axd?d=t7WWbnWEciomoaGEr5IBl5fvC-yOytQeuAO1xfSFKX7sL1tTMXPinRwIsTpSV3gfKR5aRfGdfCSjOA2hxso6IYWB-aD6aKC8hyrQ57obP2g1&t=635823524460000000	C:/cnet/Cnet/WebResource7994.js	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
14:31:24	19300/19300	---M--	200	added ('OK')	image/jpeg	etag:%22a099847ef63d01:0%22	http://cnettr.com/Storage/Web/Medium/af85bf26-a2a3-46fb-8d1d-711bf2d8d7cb.jpg	C:/cnet/Cnet/Storage/Web/Medium/af85bf26-a2a3-46fb-8d1d-711bf2d8d7cb.jpg	(from http://cnettr.com/tr-tr/productdetail/353/c1-high-power-touch-screen-wi-fi-range-extender)
